[Tue Jan 12 00:00:00 2016] LOG ROTATION: DAILY
[Tue Jan 12 00:00:00 2016] LOG VERSION: 2.0
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp01;weblogic :: osb_server;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;app :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;app :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: cpu stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: cpu usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: disk stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: icmp;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.54 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: load average;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: netstats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: network;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: nrpe;OK;HARD;1;TCP OK - 0,001 second response time on port 5666
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: ssh;OK;HARD;1;SSH OK - OpenSSH_5.3 (protocol 2.0)
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svbusp02;so :: vm stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;app :: apache;CRITICAL;HARD;3;NRPE: Unable to read output
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: cpu stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: cpu usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: disk stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: disk usage;WARNING;HARD;3;<b><i>wmax</i></b>:<font size=-5>(/opt/logs.usedperc=81%)</font>
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: icmp;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.86 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: load average;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: netstats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: network;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: nrpe;OK;HARD;1;TCP OK - 0,004 second response time on port 5666
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: ssh;OK;HARD;1;SSH OK - OpenSSH_5.3 (protocol 2.0)
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp03;so :: vm stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;app :: apache;CRITICAL;HARD;3;NRPE: Unable to read output
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: cpu stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: cpu usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: disk stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: disk usage;WARNING;HARD;3;<b><i>wmax</i></b>:<font size=-5>(/opt/logs.usedperc=86%)</font>
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: icmp;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.40 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: load average;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: netstats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: network;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: nrpe;OK;HARD;1;TCP OK - 0,001 second response time on port 5666
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: ssh;OK;HARD;1;SSH OK - OpenSSH_5.3 (protocol 2.0)
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svldbp04;so :: vm stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp15;so :: cpu usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp15;so :: disk stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp15;so :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp15;so :: icmp;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.68 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp15;so :: load average;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp15;so :: netstats;CRITICAL;SOFT;1;<b><i>cmax</i></b>:<font size=-5>(tcp.passiveopens=112017.561111111/s, tcp.activeopens=107315.755555556/s)</font>, <b><i>wmax</i></b>:<font size=-5>(icmp.inerrors=75)</font>
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp15;so :: network;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp15;so :: nrpe;OK;HARD;1;TCP OK - 0,008 second response time on port 5666
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp15;so :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp15;so :: ssh;OK;HARD;1;SSH OK - OpenSSH_5.3 (protocol 2.0)
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp16;so :: cpu usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp16;so :: disk stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp16;so :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp16;so :: icmp;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.40 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp16;so :: load average;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp16;so :: netstats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp16;so :: network;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp16;so :: nrpe;OK;HARD;1;TCP OK - 0,000 second response time on port 5666
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp16;so :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmanp16;so :: ssh;OK;HARD;1;SSH OK - OpenSSH_5.3 (protocol 2.0)
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;app :: apache;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;app :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;app :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: cpu stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: cpu usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: disk stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: icmp;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.02 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: load average;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: netstats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: network;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: nrpe;OK;HARD;1;TCP OK - 0,001 second response time on port 5666
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: process;CRITICAL;HARD;3;<b><i>crit</i></b>:<font size=-5>(vmware-guestd.pid=null)</font>
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: ssh;OK;HARD;1;SSH OK - OpenSSH_4.3 (protocol 2.0)
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svmonh01;so :: vm stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;app :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;app :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: cpu stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: cpu usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: disk stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: icmp;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.36 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: load average;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: netstats;WARNING;HARD;3;<b><i>wmax</i></b>:<font size=-5>(udp.inerrors=1872)</font>
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: network;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: nrpe;OK;HARD;1;TCP OK - 0,001 second response time on port 5666
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: ssh;OK;HARD;1;SSH OK - OpenSSH_4.3 (protocol 2.0)
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;so :: vm stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: osbii_admin;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: osbii_ms111;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: osbii_ms112;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: osbii_ms113;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: osbii_ms121;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: osbii_ms122;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: osbii_ms123;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: portal_admin;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: portal_ms0101;OK;HARD;1;All resources are OK
